addressLine1,city,state,zipCode,formattedAddress,squareFootage,yearBuilt,bathrooms,lotSize,propertyType,longitude,latitude
PO Box 50551,Knoxville,TN,37950,"PO Box 50551, Knoxville, TN 37950",0.0,0.0,0.0,0.0,Unknown,-84.0132,35.9461
12335 W Village Dr,Houston,TX,77039,"12335 W Village Dr, Unit D, Houston, TX 77039",1704.0,1979.0,2.0,2400.0,Single Family,-95.307149,29.904771
1919 Ygnacio Valley Rd,Walnut Creek,CA,94598,"1919 Ygnacio Valley Rd, Apt 87, Walnut Creek, CA 94598",1112.0,1965.0,1.0,1062.0,Condo,-122.036741,37.919564
2608 Silent Springs Ln,Knoxville,TN,37931,"2608 Silent Springs Ln, Knoxville, TN 37931",1826.0,2015.0,2.0,436.0,Single Family,-84.11264,35.96979
PO Box 85177,Racine,WI,53408,"PO Box 85177, Racine, WI 53408",0.0,0.0,0.0,0.0,Unknown,-87.8395,42.717
6107 E Masters Dr,Fort Worth,TX,76137,"6107 E Masters Dr, Apt 514, Fort Worth, TX 76137",0.0,0.0,0.0,0.0,Unknown,-97.291576,32.85787
211 White Squirrel Dr,Ruskin,FL,33570,"211 White Squirrel Dr, Ruskin, FL 33570",0.0,1991.0,1.5,0.0,Manufactured,-82.436901,27.677426
26930 S Harlem Ave,Monee,IL,60449,"26930 S Harlem Ave, Monee, IL 60449",0.0,0.0,0.0,109336.0,Single Family,-87.787308,41.400402
4660 Norma Dr,San Diego,CA,92115,"4660 Norma Dr, San Diego, CA 92115",1196.0,1939.0,1.0,13300.0,Single Family,-117.095429,32.762698
101 Del Rio Blvd,Boca Raton,FL,33432,"101 Del Rio Blvd, Boca Raton, FL 33432",1602.0,1979.0,2.5,3149.0,Single Family,-80.097193,26.348431
3230 Highland Woods Cir,Dallas,TX,75241,"3230 Highland Woods Cir, Dallas, TX 75241",1175.0,1963.0,1.5,8960.0,Single Family,-96.765239,32.681759
569 Wren Ln,New Braunfels,TX,78132,"569 Wren Ln, New Braunfels, TX 78132",0.0,0.0,0.0,0.0,Unknown,-98.19596,29.708102
7525 Fontana St,Prairie Village,KS,66208,"7525 Fontana St, Prairie Village, KS 66208",2624.0,1952.0,2.0,21684.0,Single Family,-94.636948,38.992139
16805 Meadowvale Ave,Cleveland,OH,44128,"16805 Meadowvale Ave, Cleveland, OH 44128",960.0,1962.0,1.0,4800.0,Single Family,-81.562741,41.434900999999996
2802 Royalty Dr,Garland,TX,75044,"2802 Royalty Dr, Garland, TX 75044",1980.0,1976.0,2.0,7705.0,Single Family,-96.670114,32.963214
5348 Dierks Dr,Rockford,IL,61108,"5348 Dierks Dr, Rockford, IL 61108",1499.0,0.0,2.0,0.0,Condo,-89.013828,42.239784
9919 S Calhoun Ave,Chicago,IL,60617,"9919 S Calhoun Ave, Chicago, IL 60617",1214.0,1949.0,1.0,4960.0,Single Family,-87.561835,41.714765
1120 Brittany Pl,Fort Wayne,IN,46825,"1120 Brittany Pl, Fort Wayne, IN 46825",1114.0,1991.0,2.0,10010.0,Single Family,-85.156163,41.156888
20155 Keswick St,Winnetka,CA,91306,"20155 Keswick St, Unit 107, Winnetka, CA 91306",1040.0,1981.0,2.0,69483.0,Condo,-118.57335,34.209754
2484 Centennial Ln,Hayward,CA,94541,"2484 Centennial Ln, Hayward, CA 94541",2088.0,2001.0,2.5,10289.0,Single Family,-122.057555,37.676092
17809 Train Station Dr,Huntersville,NC,28078,"17809 Train Station Dr, Huntersville, NC 28078",2102.0,2010.0,2.5,7318.0,Single Family,-80.857306,35.451139
6312 Sierra St,Cincinnati,OH,45227,"6312 Sierra St, Cincinnati, OH 45227",770.0,1890.0,1.0,6186.0,Single Family,-84.386935,39.161458
1477 Levant Ln,Chula Vista,CA,91913,"1477 Levant Ln, Unit 6, Chula Vista, CA 91913",1008.0,2007.0,2.0,76437.0,Condo,-116.972105,32.626359
3000 7th St NE,Washington,DC,20017,"3000 7th St NE, Apt 319, Washington, DC 20017",569.0,1967.0,1.0,770.0,Condo,-76.996379,38.927864
1897 The Oaks Blvd,Kissimmee,FL,34746,"1897 The Oaks Blvd, Kissimmee, FL 34746",2829.0,1998.0,2.5,10803.0,Single Family,-81.425986,28.250627
1102 Homestead Rd,Cleveland,OH,44121,"1102 Homestead Rd, Cleveland, OH 44121",1120.0,1960.0,1.0,4800.0,Single Family,-81.527011,41.530101
2008 Lakeview Ave,Jefferson City,TN,37760,"2008 Lakeview Ave, Jefferson City, TN 37760",1407.0,1962.0,2.0,17400.0,Single Family,-83.499794,36.126204
101 Paris St,Greer,SC,29650,"101 Paris St, Greer, SC 29650",1143.0,1930.0,1.0,4356.0,Single Family,-82.231577,34.938499
94-1017 Halekapio St,Waipahu,HI,96797,"94-1017 Halekapio St, Waipahu, HI 96797",1887.0,2004.0,2.5,4000.0,Single Family,-158.015431,21.390592
1035 Seaside Dr,Sarasota,FL,34242,"1035 Seaside Dr, Unit 602, Sarasota, FL 34242",1979.0,0.0,3.5,0.0,Condo,-82.535737,27.249025
40 E Pineridge Ct,Spokane,WA,99208,"40 E Pineridge Ct, Apt 6, Spokane, WA 99208",0.0,0.0,0.0,0.0,Unknown,-117.410026,47.736139
8 Hampshire Ave,Daly City,CA,94015,"8 Hampshire Ave, Daly City, CA 94015",2470.0,1972.0,2.0,6650.0,Duplex-Triplex,-122.463507,37.656637
120 E Cortez Dr,Sedona,AZ,86351,"120 E Cortez Dr, Unit 202B, Sedona, AZ 86351",810.0,0.0,1.0,0.0,Condo,-111.760834,34.779803
1321 Old Hwy,Starkville,MS,39759,"1321 Old Hwy, 12, Starkville, MS 39759",2887.0,2000.0,2.0,61855.0,Single Family,-88.864647,33.438977
16211 S 18th Pl,Phoenix,AZ,85048,"16211 S 18th Pl, Phoenix, AZ 85048",3266.0,1992.0,4.0,14479.0,Single Family,-112.043778,33.299186
6404 Wolf Run Hunt Ct,Fairfax Station,VA,22039,"6404 Wolf Run Hunt Ct, Fairfax Station, VA 22039",2880.0,1976.0,4.0,217861.0,Single Family,-77.33828,38.781115
5510 Juniper Dr,Garland,TX,75043,"5510 Juniper Dr, Garland, TX 75043",2372.0,2021.0,2.0,5195.0,Single Family,-96.58573,32.847949
6824 Bogey Dr,Fort Myers,FL,33919,"6824 Bogey Dr, Fort Myers, FL 33919",2046.0,1986.0,2.0,9256.0,Condo,-81.90555,26.541114
2000 Sun Valley Dr,Virginia Beach,VA,23464,"2000 Sun Valley Dr, Virginia Beach, VA 23464",2007.0,1978.0,2.0,8703.0,Single Family,-76.188274,36.773327
1505 Northpark Blvd,San Bernardino,CA,92407,"1505 Northpark Blvd, Apt I95, San Bernardino, CA 92407",746.0,1984.0,1.0,746.0,Condo,-117.321982,34.176763
11140 76th Dr,Forest Hills,NY,11375,"11140 76th Dr, Forest Hills, NY 11375",2160.0,1935.0,0.0,2500.0,Single Family,-73.834808,40.715879
107 Man Owar Blvd,Ozona,TX,76943,"107 Man Owar Blvd, Ozona, TX 76943",0.0,0.0,0.0,0.0,Unknown,-101.209509,30.703348
7240 Sanza Pl,Rancho Cucamonga,CA,91701,"7240 Sanza Pl, Rancho Cucamonga, CA 91701",1410.0,1994.0,2.0,4800.0,Single Family,-117.549225,34.122562
6364 S Madison St,Wichita,KS,67216,"6364 S Madison St, Wichita, KS 67216",1056.0,1985.0,2.0,47045.0,Single Family,-97.308886,37.579401
5404 Alabaster Ct,Las Vegas,NV,89149,"5404 Alabaster Ct, Las Vegas, NV 89149",2267.0,2000.0,2.5,7405.0,Single Family,-115.267429,36.259194
3445 Garrison St,San Diego,CA,92106,"3445 Garrison St, San Diego, CA 92106",1539.0,1937.0,2.0,5000.0,Single Family,-117.233293,32.728308
4914 4th St NW,Washington,DC,20011,"4914 4th St NW, Washington, DC 20011",1152.0,1931.0,1.0,1350.0,Condo,-77.017835,38.950536
114 Creekside Ln,Chapel Hill,TN,37034,"114 Creekside Ln, Chapel Hill, TN 37034",1258.0,1998.0,2.0,19602.0,Single Family,-86.604635,35.621288
6135 S Talman Ave,Chicago,IL,60629,"6135 S Talman Ave, Chicago, IL 60629",1179.0,1920.0,1.0,3750.0,Single Family,-87.68945,41.781795
951 E Teague Ave,Fresno,CA,93720,"951 E Teague Ave, Fresno, CA 93720",2466.0,1990.0,3.0,10332.0,Single Family,-119.767679,36.858933
5220 Calle Nuestra NW,Albuquerque,NM,87120,"5220 Calle Nuestra NW, Albuquerque, NM 87120",1996.0,1977.0,2.0,7144.0,Single Family,-106.70285,35.146671
1017 Barton St,Otsego,MI,49078,"1017 Barton St, Otsego, MI 49078",1904.0,1996.0,3.5,12632.0,Single Family,-85.685439,42.444712
13500 Paddington Cir,Austin,TX,78729,"13500 Paddington Cir, Austin, TX 78729",1808.0,1978.0,2.0,12854.0,Single Family,-97.779378,30.470164
3424 Norris Ave,Sacramento,CA,95821,"3424 Norris Ave, Sacramento, CA 95821",1699.0,1958.0,2.0,10019.0,Single Family,-121.368751,38.627646
112 Parish Dr,Lehigh Acres,FL,33974,"112 Parish Dr, Lehigh Acres, FL 33974",2178.0,2024.0,2.0,11395.0,Single Family,-81.658188,26.561482
811 Cavaison Ave,Las Vegas,NV,89123,"811 Cavaison Ave, Las Vegas, NV 89123",2722.0,1998.0,4.0,7405.0,Single Family,-115.144882,36.017014
4112 Scoville Ave,Berwyn,IL,60402,"4112 Scoville Ave, Berwyn, IL 60402",0.0,0.0,0.0,0.0,Unknown,-87.786263,41.817615
1912 Lombard St,Garland,TX,75043,"1912 Lombard St, Garland, TX 75043",1831.0,1987.0,2.5,5200.0,Single Family,-96.57748,32.861215
7013 W Missouri Ave,Glendale,AZ,85303,"7013 W Missouri Ave, Glendale, AZ 85303",1673.0,1978.0,2.0,8699.0,Single Family,-112.210347,33.516162
PO Box 2004,Greeneville,TN,37744,"PO Box 2004, Greeneville, TN 37744",0.0,0.0,0.0,0.0,Unknown,-82.8336,36.1628
821 Truman St,Arlington,TX,76011,"821 Truman St, Arlington, TX 76011",1500.0,1949.0,2.0,10350.0,Single Family,-97.099976,32.747862
334 Mesquite Ln,Mercedes,TX,78570,"334 Mesquite Ln, Unit A, Mercedes, TX 78570",0.0,0.0,0.0,0.0,Unknown,-97.948166,26.149009
5707 Fulton Cir,Norcross,GA,30093,"5707 Fulton Cir, Norcross, GA 30093",2958.0,1967.0,3.0,23958.0,Single Family,-84.181301,33.897931
2532 E Laurel St,Mesa,AZ,85213,"2532 E Laurel St, Mesa, AZ 85213",2272.0,1986.0,2.0,15112.0,Single Family,-111.776184,33.458489
9128 Argentine Pass Trl,Colorado Springs,CO,80924,"9128 Argentine Pass Trl, Colorado Springs, CO 80924",2828.0,2013.0,4.0,0.0,Single Family,-104.731888,38.963775
2489 Larose Ave,Memphis,TN,38114,"2489 Larose Ave, Memphis, TN 38114",1855.0,1942.0,2.0,7405.0,Single Family,-89.979964,35.097736
7723 Duncannon Ln,Hanover,MD,21076,"7723 Duncannon Ln, Hanover, MD 21076",1760.0,2015.0,2.5,1120.0,Single Family,-76.748741,39.133748
2013 W Race Ave,Chicago,IL,60612,"2013 W Race Ave, Chicago, IL 60612",2503.0,1887.0,2.0,2219.0,Apartment,-87.677529,41.891331
1151 S Ramona St,San Gabriel,CA,91776,"1151 S Ramona St, San Gabriel, CA 91776",1092.0,1947.0,1.0,7500.0,Single Family,-118.108078,34.086059
461 W Santa Ana Ave,Clovis,CA,93612,"461 W Santa Ana Ave, Apt 1, Clovis, CA 93612",810.0,1971.0,1.0,780.0,Condo,-119.719536,36.805046
3560 E Douglas Ave,Des Moines,IA,50317,"3560 E Douglas Ave, Apt A2, Des Moines, IA 50317",0.0,0.0,0.0,0.0,Unknown,-93.546377,41.63164
54 W 119th St,Chicago,IL,60628,"54 W 119th St, Chicago, IL 60628",0.0,0.0,0.0,0.0,Unknown,-87.624778,41.67827
1211 Cornelia St,Pomona,CA,91768,"1211 Cornelia St, Pomona, CA 91768",1200.0,1955.0,2.0,6197.0,Single Family,-117.797006,34.065164
1445 Ottawa Ct,Toms River,NJ,8753,"1445 Ottawa Ct, Toms River, NJ 08753",1847.0,1985.0,3.0,15000.0,Single Family,-74.170707,39.990843
2405 S Ardson Pl,Tampa,FL,33629,"2405 S Ardson Pl, Unit 403, Tampa, FL 33629",2060.0,0.0,2.5,0.0,Condo,-82.484981,27.924755
11147 Palomino Blf,San Antonio,TX,78245,"11147 Palomino Blf, San Antonio, TX 78245",2337.0,2013.0,2.5,5837.0,Single Family,-98.709905,29.388863
193 Carleton St,Providence,RI,2908,"193 Carleton St, Providence, RI 02908",3282.0,1916.0,3.0,4138.0,Duplex-Triplex,-71.447094,41.826437
115 E 86th St,New York,NY,10028,"115 E 86th St, # 22, New York, NY 10028",0.0,0.0,0.0,0.0,Condo,-73.95616,40.780051
45 Broadway,Jersey City,NJ,7306,"45 Broadway, Jersey City, NJ 07306",1710.0,2007.0,2.5,11686.0,Condo,-74.069607,40.735172
2166 Santa Cruz Ave,Santa Clara,CA,95051,"2166 Santa Cruz Ave, Santa Clara, CA 95051",1078.0,1955.0,2.0,5050.0,Single Family,-121.982115,37.361027
6812 N 32nd Dr,Phoenix,AZ,85017,"6812 N 32nd Dr, Phoenix, AZ 85017",1382.0,1952.0,2.0,5998.0,Single Family,-112.129326,33.537042
17622 N Bobwhite Dr,Sun City West,AZ,85375,"17622 N Bobwhite Dr, Sun City West, AZ 85375",1649.0,1986.0,2.0,12500.0,Single Family,-112.351433,33.646637
255 Bimini Way,Pointblank,TX,77364,"255 Bimini Way, Pointblank, TX 77364",360.0,2003.0,0.0,7998.0,Manufactured,-95.176675,30.80033
811 E 43rd St,Erie,PA,16504,"811 E 43rd St, Erie, PA 16504",1472.0,1963.0,1.5,7349.0,Single Family,-80.045695,42.103711
3233 204th St,Bayside,NY,11361,"3233 204th St, Bayside, NY 11361",1376.0,1930.0,0.0,1860.0,Duplex-Triplex,-73.785058,40.769911
4035 Chetham Way,Woodbridge,VA,22192,"4035 Chetham Way, Woodbridge, VA 22192",1707.0,1990.0,2.5,862.0,Condo,-77.329042,38.68106
7345 School House Ln,Roseville,CA,95747,"7345 School House Ln, Roseville, CA 95747",1869.0,1998.0,2.0,6644.0,Single Family,-121.356308,38.790166
6 Appleby Rd,Wellesley,MA,2482,"6 Appleby Rd, Wellesley, MA 02482",3068.0,1916.0,3.5,9290.0,Single Family,-71.294661,42.291044
11478 Mendenhall Ct,Lovejoy,GA,30250,"11478 Mendenhall Ct, Lovejoy, GA 30250",1568.0,2023.0,2.5,3485.0,Townhouse,-84.321061,33.435702
3270 Crestview Dr,Cumming,GA,30041,"3270 Crestview Dr, Cumming, GA 30041",2112.0,1973.0,3.5,59677.0,Single Family,-84.078028,34.181026
400 N Main Street 400 N Main St,Tea,SD,57064,"400 N Main Street 400 N Main St, Tea, SD 57064",0.0,0.0,2.0,0.0,Apartment,-96.836231,43.449262
PO Box 1030,Chester,PA,19016,"PO Box 1030, Chester, PA 19016",0.0,0.0,0.0,0.0,Unknown,-75.3561,39.8608
604 Broadway St,Birmingham,AL,35209,"604 Broadway St, Birmingham, AL 35209",1887.0,1955.0,1.0,8220.0,Single Family,-86.811961,33.46443
2791 Baker Lake Rd,Newport,WA,99156,"2791 Baker Lake Rd, Newport, WA 99156",2020.0,1960.0,2.0,435600.0,Single Family,-117.253492,48.208672
2001 Wheeler St N,Saint Paul,MN,55113,"2001 Wheeler St N, Saint Paul, MN 55113",1092.0,1954.0,1.0,11151.0,Single Family,-93.174756,45.001438
2545 Rail Spur,Odessa,FL,33556,"2545 Rail Spur, Odessa, FL 33556",0.0,0.0,0.0,6970.0,Land,-82.59803,28.195484
90 Pleasant Dr,Feeding Hills,MA,1030,"90 Pleasant Dr, Feeding Hills, MA 01030",1723.0,1963.0,2.0,25352.0,Single Family,-72.673721,42.080104
23 Brookwood Dr,Salem,NH,3079,"23 Brookwood Dr, Salem, NH 03079",564.0,1965.0,1.0,0.0,Manufactured,-71.225958,42.778591
4257 Pamela Dr,Columbia,TN,38401,"4257 Pamela Dr, Columbia, TN 38401",0.0,1973.0,1.0,19600.0,Land,-87.098559,35.521005
1970 E Julian St,San Luis,AZ,85336,"1970 E Julian St, San Luis, AZ 85336",1386.0,2006.0,2.0,5722.0,Single Family,-114.755132,32.483214
1250 E 82nd St,Cleveland,OH,44103,"1250 E 82nd St, Cleveland, OH 44103",1334.0,1900.0,1.0,2614.0,Single Family,-81.630928,41.521145
21 Parkview Ct,White Plains,NY,10603,"21 Parkview Ct, White Plains, NY 10603",1932.0,1927.0,1.0,5227.0,Single Family,-73.769789,41.039519
506 Greystoke Ln,Knoxville,TN,37912,"506 Greystoke Ln, Knoxville, TN 37912",2352.0,2015.0,3.0,4370.0,Single Family,-83.979768,36.030772
120 Palo Verde Circle Rock Vw,Sedona,AZ,86351,"120 Palo Verde Circle Rock Vw, Unit Bell, Sedona, AZ 86351",0.0,0.0,1.0,0.0,Single Family,-111.761101,34.775902
1141 Castlerock Rd,Argyle,TX,76226,"1141 Castlerock Rd, Argyle, TX 76226",2129.0,2022.0,2.0,6011.0,Single Family,-97.22327,33.092688
7275 W Soft Wind Dr,Peoria,AZ,85383,"7275 W Soft Wind Dr, Peoria, AZ 85383",3674.0,2001.0,4.0,20640.0,Single Family,-112.21523,33.701333
710 Throop St,Dunmore,PA,18512,"710 Throop St, Dunmore, PA 18512",0.0,0.0,0.0,7250.0,Single Family,-75.617347,41.420432
6337 Village Center Dr,Bealeton,VA,22712,"6337 Village Center Dr, Bealeton, VA 22712",0.0,2001.0,0.0,0.0,Apartment,-77.762485,38.581127
20 Edgewood Ter,Methuen,MA,1844,"20 Edgewood Ter, Methuen, MA 01844",2268.0,1961.0,1.0,12327.0,Single Family,-71.200731,42.72074
3111 N Caden Ct,Flagstaff,AZ,86004,"3111 N Caden Ct, Ste 205, Flagstaff, AZ 86004",0.0,0.0,0.0,0.0,Unknown,-111.598261,35.211601
5734 S Huron St,Littleton,CO,80120,"5734 S Huron St, Littleton, CO 80120",1100.0,1955.0,2.0,7884.0,Single Family,-104.996983,39.612539
333 E Main St,Clayton,NC,27520,"333 E Main St, Ste 206, Clayton, NC 27520",0.0,0.0,0.0,0.0,Unknown,-78.456878,35.650566
5809 Lehman Way,Austin,TX,78747,"5809 Lehman Way, Austin, TX 78747",2835.0,2018.0,2.0,8198.0,Single Family,-97.772653,30.132231
318 Towler St,Monroe,GA,30655,"318 Towler St, Apt 1, Monroe, GA 30655",0.0,0.0,0.0,0.0,Unknown,-83.70118,33.780667
1981 Santa Rosa Ct,Santa Clara,CA,95051,"1981 Santa Rosa Ct, Santa Clara, CA 95051",1212.0,1954.0,2.0,5500.0,Single Family,-121.992256,37.358905
20113 Stamat Dr,Land O Lakes,FL,34638,"20113 Stamat Dr, Land O Lakes, FL 34638",0.0,0.0,0.0,68311.0,Land,-82.482907,28.220846
12819 127th Ave,Largo,FL,33774,"12819 127th Ave, Largo, FL 33774",1137.0,1983.0,2.0,6098.0,Single Family,-82.81721,27.888462
1265 Cunningham Dr,Calumet City,IL,60409,"1265 Cunningham Dr, Apt 205, Calumet City, IL 60409",0.0,0.0,0.0,0.0,Unknown,-87.551012,41.599202
150 Lafayette St,York,PA,17401,"150 Lafayette St, York, PA 17401",2340.0,1900.0,1.0,2600.0,Condo,-76.727744,39.954742
947 E Shadowlawn Ave,Tampa,FL,33603,"947 E Shadowlawn Ave, Tampa, FL 33603",1834.0,1952.0,2.0,7420.0,Single Family,-82.44721,27.993527
102 Highland Ave,Ogunquit,ME,3907,"102 Highland Ave, Ogunquit, ME 03907",3475.0,1965.0,4.5,13939.0,Single Family,-70.605452,43.249151
33 Palm Ln,Westbury,NY,11590,"33 Palm Ln, Westbury, NY 11590",1984.0,1953.0,2.0,6400.0,Single Family,-73.558583,40.740866
5201 Ocean Beach Blvd,Cocoa Beach,FL,32931,"5201 Ocean Beach Blvd, Apt 11, Cocoa Beach, FL 32931",1674.0,2001.0,0.0,3485.0,Condo,-80.605056,28.365831
2518 W Walnut St,Tampa,FL,33607,"2518 W Walnut St, Tampa, FL 33607",1430.0,1950.0,2.0,4750.0,Single Family,-82.485747,27.959891
401A Airport Way,Seven Bays,WA,99122,"401A Airport Way, Seven Bays, WA 99122",1800.0,1983.0,1.0,21780.0,Single Family,-118.3299,47.851942
12756 Wyoming St,Detroit,MI,48238,"12756 Wyoming St, Detroit, MI 48238",1954.0,1925.0,2.0,3485.0,Duplex-Triplex,-83.158579,42.382966
1726 Fairway Dr,Auburn,AL,36830,"1726 Fairway Dr, Auburn, AL 36830",4116.0,2013.0,3.5,0.0,Single Family,-85.447898,32.572246
2607 Spartan Rd,Olney,MD,20832,"2607 Spartan Rd, Olney, MD 20832",2468.0,1993.0,2.5,6852.0,Single Family,-77.050315,39.158068
2 Pointe South Trce,Bluffton,SC,29910,"2 Pointe South Trce, Bluffton, SC 29910",3370.0,1999.0,3.0,9583.0,Single Family,-80.811507,32.231611
7308 Ditmars Blvd,East Elmhurst,NY,11370,"7308 Ditmars Blvd, East Elmhurst, NY 11370",1852.0,1935.0,0.0,3000.0,Land,-73.89581,40.768018
2406 Stone Rd,Atlanta,GA,30344,"2406 Stone Rd, Apt 9, Atlanta, GA 30344",0.0,0.0,0.0,0.0,Unknown,-84.46688,33.665965
1500 Capitol Dr,Green Bay,WI,54303,"1500 Capitol Dr, Apt 9, Green Bay, WI 54303",0.0,0.0,0.0,0.0,Unknown,-88.059646,44.524609
1808 Bent Oak Ct,Apopka,FL,32712,"1808 Bent Oak Ct, Apopka, FL 32712",2256.0,1983.0,2.0,23810.0,Single Family,-81.475577,28.68413
3326 Navasota Cir,San Antonio,TX,78259,"3326 Navasota Cir, San Antonio, TX 78259",3435.0,2004.0,3.5,13547.0,Single Family,-98.430574,29.64966
17 Howard Pl,Nutley,NJ,7110,"17 Howard Pl, Nutley, NJ 07110",1152.0,1954.0,0.0,4136.0,Single Family,-74.169704,40.818928
17 Kready Ave,Millersville,PA,17551,"17 Kready Ave, Millersville, PA 17551",3536.0,1932.0,3.5,14810.0,Single Family,-76.356629,40.006614
3690 Sunrise Ln,Duluth,GA,30096,"3690 Sunrise Ln, Duluth, GA 30096",1588.0,1992.0,2.5,16553.0,Single Family,-84.157853,33.996438
9944 W Trestlewood St,Boise,ID,83709,"9944 W Trestlewood St, Boise, ID 83709",1344.0,1975.0,1.0,17860.0,Single Family,-116.306046,43.53904
3423 Ne Madison Ave,Peoria,IL,61603,"3423 Ne Madison Ave, Peoria, IL 61603",1108.0,1928.0,2.0,0.0,Single Family,-89.558907,40.720371
151 E Mclane Dr,Shelton,WA,98584,"151 E Mclane Dr, Shelton, WA 98584",640.0,0.0,1.0,0.0,Single Family,-122.979586,47.217576
2042 Meyer Pl,Costa Mesa,CA,92627,"2042 Meyer Pl, Apt C, Costa Mesa, CA 92627",0.0,0.0,0.0,0.0,Unknown,-117.924382,33.64846
2508 Chace Lake Pkwy,Birmingham,AL,35244,"2508 Chace Lake Pkwy, Birmingham, AL 35244",0.0,0.0,0.0,0.0,Unknown,-86.808985,33.369763
35025 Armour Way,Fremont,CA,94555,"35025 Armour Way, Fremont, CA 94555",2245.0,1997.0,3.0,6227.0,Single Family,-122.032526,37.572832
192 Hill St,Mammoth Lakes,CA,93546,"192 Hill St, Mammoth Lakes, CA 93546",1394.0,1964.0,3.0,18730.0,Single Family,-118.986359,37.62945
10200 Flat Creek Trl,Mckinney,TX,75072,"10200 Flat Creek Trl, Mckinney, TX 75072",2168.0,2008.0,2.0,0.0,Single Family,-96.754982,33.190762
514 Jackson Ave,Grand Haven,MI,49417,"514 Jackson Ave, Grand Haven, MI 49417",1374.0,1900.0,1.0,8712.0,Single Family,-86.223447,43.066259
849 Heritage Vlg,Southbury,CT,6488,"849 Heritage Vlg, Unit A, Southbury, CT 06488",1432.0,1972.0,2.0,0.0,Single Family,-73.243065,41.487258
14904 Grand Summit Blvd,Grandview,MO,64030,"14904 Grand Summit Blvd, Apt 101, Grandview, MO 64030",0.0,0.0,0.0,0.0,Unknown,-94.51505,38.853042
17242 Sw Kite Ln,Beaverton,OR,97007,"17242 Sw Kite Ln, Beaverton, OR 97007",1991.0,2019.0,0.0,2178.0,Single Family,-122.854744,45.43033
PO Box E,Mayfield,KY,42066,"PO Box E, Mayfield, KY 42066",0.0,0.0,0.0,0.0,Unknown,-88.631354,36.739156
7153 Millbury Ct,Elkridge,MD,21075,"7153 Millbury Ct, Elkridge, MD 21075",3646.0,2001.0,4.5,17236.0,Single Family,-76.761209,39.224757
3720 Rafferty Cir,Corona,CA,92882,"3720 Rafferty Cir, Corona, CA 92882",3036.0,1999.0,2.0,8276.0,Single Family,-117.582912,33.834328
10401 Butte Dr,Longmont,CO,80504,"10401 Butte Dr, Longmont, CO 80504",1371.0,2003.0,2.0,3441.0,Single Family,-104.988408,40.15407
1812 Nautilus Dr,Toms River,NJ,8753,"1812 Nautilus Dr, Toms River, NJ 08753",896.0,1965.0,1.0,7405.0,Single Family,-74.148871,39.993792
7901 Canterbury Ter,Mckinney,TX,75072,"7901 Canterbury Ter, Mckinney, TX 75072",3356.0,2000.0,4.0,10890.0,Single Family,-96.719176,33.182499
40 Taggart St,Manchester,NH,3102,"40 Taggart St, Manchester, NH 03102",1260.0,2004.0,2.0,8626.0,Single Family,-71.480555,43.004322
1149 King Ave,Wilmington,CA,90744,"1149 King Ave, Wilmington, CA 90744",1200.0,1951.0,1.0,7858.0,Single Family,-118.276356,33.785668
10627 Clubhouse Dr,Kansas City,KS,66109,"10627 Clubhouse Dr, Kansas City, KS 66109",1375.0,2014.0,3.5,2047.0,Duplex-Triplex,-94.825541,39.165345
Harmony Dr NW,Rio Rancho,NM,87144,"Harmony Dr NW, Rio Rancho, NM 87144",0.0,0.0,0.0,43560.0,Land,-106.836397,35.346584
4226 Irish Hills Dr,South Bend,IN,46614,"4226 Irish Hills Dr, Apt 2A, South Bend, IN 46614",0.0,0.0,0.0,0.0,Unknown,-86.209855,41.632993
500 Woodcrest Ave,Salisbury,MD,21804,"500 Woodcrest Ave, Salisbury, MD 21804",1137.0,1954.0,1.0,11625.0,Single Family,-75.543915,38.377489
1819 Wren St,Murfreesboro,TN,37130,"1819 Wren St, Murfreesboro, TN 37130",1234.0,1958.0,1.0,15000.0,Single Family,-86.361487,35.833868
240 Markwood Dr,Sterling,VA,20165,"240 Markwood Dr, Sterling, VA 20165",2352.0,1985.0,3.5,7841.0,Single Family,-77.409433,39.042992
6318 W 77th St,Los Angeles,CA,90045,"6318 W 77th St, Los Angeles, CA 90045",1387.0,1953.0,2.0,6366.0,Single Family,-118.396762,33.971652
607 Stone Meadow Ct,La Vergne,TN,37086,"607 Stone Meadow Ct, La Vergne, TN 37086",1161.0,1997.0,2.0,9199.0,Single Family,-86.538535,36.021334
959 Arbor St,Costa Mesa,CA,92627,"959 Arbor St, Costa Mesa, CA 92627",1236.0,1954.0,2.0,7370.0,Single Family,-117.938891,33.643859
1297 S Greer St,Memphis,TN,38111,"1297 S Greer St, Memphis, TN 38111",996.0,1952.0,1.0,10498.0,Single Family,-89.955508,35.096459
42203 Jasper Ln,Ponchatoula,LA,70454,"42203 Jasper Ln, Ponchatoula, LA 70454",2544.0,2019.0,0.0,10019.0,Single Family,-90.282111,30.466703
706 Whitmore Ave,Baltimore,MD,21216,"706 Whitmore Ave, Baltimore, MD 21216",1102.0,1940.0,1.5,1972.0,Single Family,-76.658209,39.295702
357 Main St,Piru,CA,93040,"357 Main St, Piru, CA 93040",0.0,0.0,0.0,0.0,Unknown,-118.796009,34.410591
1844 Kristen Mill Ct,Marietta,GA,30062,"1844 Kristen Mill Ct, Marietta, GA 30062",2635.0,1989.0,2.5,15364.0,Single Family,-84.498051,34.004355
